,text,z1,z2
0,[Returning to the routine after the debate.](http://i.imgur.com/k5XrRZt.jpg),-0.175414052499,0.465361024616
1,"I thought I was hallucinating when they did that close zoom in on Hillary's face. ""Am I watching SNL by accident?""",0.0372302017832,-0.100998040104
2,"They're so totally doing that next week.

And the fly.",-0.0709335721946,0.0087361951606
3,I hope they can get Jeff Goldblum to reprise the role.,-0.0709335721946,0.0087361951606
4,I thought the fly was in our house,-0.0323713242551,-0.0501308110789
5,I seriously had to ask someone if the fly actually landed on her face or if it was just on my TV.,-0.0521997642648,-0.190746027939
6,Welcome to the Westworld,-0.0709335721946,0.0087361951606
7,What on earth just happened.,0.0339038548407,-0.255891786595
8,"Honestly that was a first in US history in terms of pure bloodbath debates. I doubt we will ever see anything like that again. 

The fact that we are here with these two candidates is proof that like it or not, there is some divide in this country.

I can't believe I just watched that. ",-0.177356115075,-0.322305016658
9,Well there is a third debate. We may see worse!,-0.207494966657,0.807156572714
10,"Recent history, maybe. You're forgetting 18th and 19th century debates where Congressmen would beat each other with sticks and challenge each other to pistol duels.",-0.0709335721946,0.0087361951606
11,"Seriously, has no one read a single history book? If people think this was even remotely a ""bloody debate"" they're incredibly uninformed. ",-0.0908046290019,0.316424796876
12,"Yeah, Andrew Jackson would beat Trump over the head with his cane. And then Aaron Burr would shoot him.",0.400500936159,-0.015853307171
13,"Jackson might support the whole ""send the illegals packing"" thing, though. Although in a much more violent fashion than I imagine Donald Trump plans.
",0.2849164102,0.0833058640917
14,history and disappointment ,-0.0709335721946,0.0087361951606
15,Shit..........show......,-0.0729162985804,-0.0121736442282
16,"> The four women — three of whom have alleged Bill Clinton sexually assaulted or harassed them years ago — were to walk in the debate hall at the same time as the 42nd president and confront him in front of a national television audience.

Jesus Christ 

edit: https://www.washingtonpost.com/news/post-politics/wp/2016/10/10/trumps-debate-plan-to-seat-bill-clintons-accusers-in-family-box-was-thwarted/?postshare=8601476079002017&tid=ss_tw",-0.112879826332,0.509526151537
17,That explains why he looked furious at the beginning,-0.0709335721946,0.0087361951606
18,I figured it was the lack of balloons.,-0.0709335721946,0.0087361951606
19,"""Why didn""t you bring up the emails?""

""We just did.""

""No...""",0.0551785838734,-0.191794672379
20,Literally after talking about the emails. ,-0.0889135617642,0.0188830142679
21,"I wanted Obama to come out, out of nowhere, unannounced, like on some WWE type shit.",-0.193608035805,-0.136246438923
22,"""That's Obama's music!!!""

EDIT: Since everyone's suggesting music, [this](https://youtu.be/NgqbjlUp35U?t=12s) was what I was hearing in my head.",-0.106563119834,0.0953056172387
23,"*""X gonna give it to ya"" starts to play*",-0.0709335721946,0.0087361951606
