,text,z1,z2
0,"Let's play Russian roulette 






every 2th like dies",-0.123409020485,-0.103295020704
1,Stop asking him about the stupid bus,-0.110522185187,-0.0760422922859
2,I can't stand that wicked fake smiling bitch Hillary Clinton.,-0.140259244891,0.391165003856
3,"Well well well, that smirk that was on her face thru this debate was 
removed by the American people. She has been knocked off her throne, never 
to regain her seat again! Way to go America! Way to go.....",-0.17356408128,-0.112961964588
4,"lol who's just only tuning in to the debates now Trump has won. certainly 
me!😅🙈",0.155822475698,-0.0915025126069
5,"I'm Brazilian (therefore not much into American Elections) but correct me 
if I'm wrong...
USA must decide between voting for a crazy businessman who says mean things 
and a compulsive liar who does mean things, right? 

You're screwed either way, but one thing I can assure: I would never vote 
for the second option.",-0.138588170752,-0.102602988217
6,AMERICA HAS TO CHOOSE BETWEEN BAD AND WORSE,-0.142544190407,-0.118144170539
7,I watched this while doing my homework.,-0.10898611662,-0.0758347263119
8,"This is the best two hours of my life of watching these two biggest frauds 
pointing each other fault line rather than resorting a strategy how to fix 
this country up.",-0.141763084642,-0.100242237056
9,"Do not vote if you don't want none of these two for president. It's your 
right to do so and expressing your discontent. Do not be blackmailed into 
voting a candidate in which you don't believe",-0.13877718516,-0.0960842825912
10,"Hillary Clinton is, according to some people, in league with child 
traffickers and Satanic practitioners. Donald Trump is, according to some 
people, pals with Jeffery Epstein, owner of ‘pedo-island’. 

Who to believe? 

Something that is an absolute fact is, I really don’t know either one of 
these individuals. 

They are just personas put out for me on various viewing screens. I’m 
suppose to pick one of these people to make decisions on my behalf that 
will impact my life? 

The whole thing is actually quite ABSURD!!!

“Democracy” is one big dumb CULT!",0.00582044045653,0.0865249437913
11,"Good Luck America. I hope whatever happens will be the best for the 
country. I personally would vote against Trump, not because Clinton is good 
but because Trump is worse in my Opinion. I hope you will Vote, think 
before you vote and vote not only for your advantages but for the 
advantages of the whole United States and the rest of the World since this 
election does not only effect America . ( I guess i'm gonna get criticised 
for hoping for the best, since I have been before by Trumps supporters if 
not commenting 100% positive or against Trump)",0.0592495798435,-0.0863284095615
12,Wow look at the guy in the background while karl becker is speaking.,-0.133517562684,-0.105637332614
13,I can't even watch that snake.. Hillary needs to die,-0.144659137062,0.88503483267
14,"I can't vote, but I'm just curious. If both of them are in trouble with the 
law (Clinton with emails I believe and Trump with fraud(?something with 
Trump university) case and rape case going to court) why are they allowed 
to run? Just wondering. 😄",0.227668610858,-0.0536514482754
15,20:15 best part!,-0.137067395363,-0.0946761750809
16,"Donald Trump made his money off of hard work.Hillary makes her money from 
dodgy deals and donations",0.283656399413,0.260809640067
17,Every like on this comment is for hilary. Every comment is for trump.,0.21389362338,-0.14451219656
18,"Dear Americans. The world is laughing at your stupidity. Nobody outside of 
the US will have any sympathy for you later on down the line. Brainless 
country.",-0.143226133406,-0.116956062564
19,"Trump won the debate at 20:10. Couldve dropped the mic and walked off stage 
after that and still wouldve won",0.0650835168254,-0.0682230943278
20,"People have a bad look at Trump because the media smeared him. Where was 
his evil all these years when the world knew him, including all these women 
he suppose abused so badly. Once he gets elected president - which I 
believe so - people will have the same view they had until now.",-0.00754822734798,-0.120135958035
21,I'll gladly vote a dead gorilla as president than these two cretins.,-0.13414877274,-0.0940007319863
22,"Nobody should support that charlatan and sexual predator trump. He will 
betray anybody at any moment cause he is a fraud and a coward.",0.131588450349,-0.095898830086
23,"""because you'd be in fail""... lol",-0.136136734207,-0.0971499527022
24,why dont you release your hundreds of thousands of emails crooked bitch,-0.111953458145,-0.0776304044346
25,"These debates are just arguing, questioning judgment, and blocking out the 
host. I feel so bad for that guy.",-0.123522808924,-0.118015613764
