,label,text
0,0,"I'm sick and tired of those who say Hillary has no great accomplishments. I 
would say staying out of prison for the crimes she committed in the last 
four decades is a great accomplishment."
1,0,"This is almost terrifying to watch! how can any of these two rule a 
country! #Nobodyforpresident"
2,0,Who's watching this after the election.
3,0,"Yelling over your opponent is not how you win a debate, Donnie."
4,4,"LOOOL Trump. Your temperament is terrible.You're a tyrant. Take several 
seats. and OML if Hilary smiles one more time, I swear I'm gonna jump off 
this roof."
5,0,"You know what's weird? Trump says Mexicans should go back to Mexico,Muslims 
should go back to the west, But he doesn't like saying that americans are 
immigrants."
6,0,"I really don't care what happens because the president doesn't have all the 
power. The U.S.A's main governmental power is divided into three branches, 
as we all know: The Executive Branch, The Legislative Branch, and The 
Judicial Branch. If the president wants to sent out new laws, 2/3 of the 
Legislative Branch must agree on it, or else it would be overwrited."
7,0,THEY BOTH NEED TO STOP INTERRUPTING THAT POOR MAN !!!!!!!!!!
8,1,why is trump always so triggered
9,0,"I don't live in the US, have never been there (I'd love to go though), but 
I still watch these. Your American politics are hilarious ;D"
10,0,Where's Hilary's shoulder shake? Lol
11,0,A small loan of a million dollars
12,0,people ask me why i watch these and idk I find it so entertaining
13,0,"W O W, AMERICA!!!!!!!...you are a country of 319 MILLION people and the 
best you can do for a potential president is one of these two!!!!?!?!?!!!!! 
Would you like to borrow a paddle?? LOL"
14,4,"To me it feels like all the hosts are against Trump and thats not right, 
they should be neutral."
15,0,ANYBODY HERE NOW
16,0,How would you vote for this? It is just impossible😂
17,0,We are soooo going to miss President Obama! 😔😔😔
18,3,"If Hillary Clinton was a ship, she would be called the Titanic! And Donald 
Trump is the iceberg! And we all know what happened to the Titanic!"
19,0,"even though I am a Muslim, even though I am not gonna vote, yet I would 
never vote for a fake person such as Clinton! her laughs, her smiles, her 
answers, even her her nodding are all fake."
20,0,Hilary is a criminal.
21,0,"THANK YOU LORD that I live in South Africa. I just have to choose between a 
bald ass penguin and a nincampoop!!!!"
22,4,"I feel like Trump and Hilary are two divorced parents fighting over custody 
of us, but we kinda just wana go live with grandma."
23,4,"I love Donald Trump. I hate Hilary Cliton! Because she is such a liar and 
she didn't deserve to be president. Donald Trump won the election last 
week, and I'm happy because he and Mike Pence Vice President are going to 
make America great again!"
24,0,"Trump was right. Stop and Frisk did help a lot. According to wall street 
journal, Homicide, Rape and Robbery increased and has been since the new 
person came in"
25,0,"This is literally two grown adults talking over each other like children. 
Seriously, no respect for each other nor for the guy trying to keep them on 
topic. This is a joke."
26,4,"Trump always acting like a baby, in the next debates he must show up with a 
bottle."
27,0,"can they have the 4th debate? hehe. i am kinda addicted to the hilarious 
and dramatic debate. i am wondering what i a going to do after the 
presidential election. lol"
28,4,hate trump and I hate clinton but frankly trump is the one I would want
29,4,"Trump is just a charlatan, a big liar and a big fraud."
30,0,Bye im moving to Dubai! ;)
31,3,"They are both awful, Trump has business sense but it also racist and 
sexist. Hillary is corrupt but has experience in government, though she 
shouldn't become US President just because she is a woman. Bernie Sanders 
was the only good choice now America is screwed"
32,4,Trump just needs to shut up.
33,4,"if trump wins, im movin to japan"
34,4,I hate Donald Trump he is sick
35,4,Trump is perfect for president
36,3,"Donald Trump needs to stop talking over Hillary. She is trying to make a 
point, and it isn't helping his debate in any way"
37,4,trump as prseident = world war 3
38,2,Hillary is all talk and absolutely no action whatsoever.
39,0,"Bye guys , I'm moving to Canada :)"
40,0,me and my family are libertarions (is that how i spell it?) and im pround
41,3,"Choosing between Trump or Hillary, is like choosing between aids or cancer."
42,0,"all I can do is pray that this country will not go into world war 3 because 
of him."
43,0,"""Small loan"" my ass. A Million dollars is NOT a small loan."
44,0,Really out of 10 billion people u pick these two ????
