,label,text
0,0,I'm Irish and I don't care😂🇨🇮🖕🏻
1,3,"Trump and Clinton are merely two different symptoms of the same fatal 
disease"
2,3,Both Trump and Clinton are unworthy. KICK THEM BOTH OUT!
3,3,"Trump Supporters: I implore you when you vote, triple check your selection. 
If the machine's a ""Smartmatic"", then it's a potentially rigged machine 
owned by George Soros. Demand a Paper Ballot.

http://thetruthdivision.com/2016/10/alert-see-smartmatic-voting-booth-polls-heres-must/
"
4,5,"God it's funny to hear Hillary talk about the Supreme Court since she 
withheld tons of information from them and was completely uncooperative."
5,0,"Smoke some weed or take LSD and watch this. Imagine how we got here. We are 
humans watching our masters debate. It's like all a game. Taking our 
attention away from something else. Bigger."
6,0,i vote Franklin Clinton
7,1,Jesus tits- Trump has a terrible facelift.
8,0,Lol who is watching this on election day november 8
9,1,Independent NYC voter for trump . police officer for trump !
10,0,This bitch thought she had it lmao
11,5,"Obama ruined this country and Hillary will make it worse. trump may not be 
the best, but he IS better than Hillary"
12,0,"How many of the American people are aware, that there are other candidates 
(e.g. Johnson & Stein) that you can vote for?"
13,0,"I'm sorry...but I think I'd feel just a tad more comfortable with the 
country in Hillary's hands than in his. His characteristics an demeanor and 
some of the things he says are so immature & outlandish I really can't 
believe he's gotten this far. I don't want someone like this representing & 
dictating us at all. His personality is just too unattractive for my 
comfort & trust levels. I loved Bill as our president, and I think she'd 
rekindle a lot of the ways he ran the country. This guy here, no ma'am...I 
just don't like this rude pushy fellow and I don't want him to be the our 
president, I just can't stand this guy. HILLARY 100%!"
