,label,text
0,1,So it turns out that Obama's weird brother served no purpose at all. That's interesting.
1,3,Somehow Clinton found the strength not to be distracted by a man she's never met. 
2,3,It seems Trump forgot that he's not actually running against Obama.
3,3,Has he remembered that he's not running against Bill Clinton yet?
4,1,"Chris Wallace: *I know you didn't agree to closing statements, but fuck you both you're doing one.*

"
5,3,"Hillary: Fair enough, I have one because of course I do."
6,3,"Chris Wallace: I know you didn't prepare a closing statement...

Hillary: bitch I could recite to you 15 different closing statements right now. You could wake me from a drunken stupor and I could still give you like 9. "
7,1,I used to recite closing statements instead of bedtime stories to Chelsea.
8,1,"Mom I'm 20 and in college now

Shush dear I'm going to need you to fact check it in the morning"
9,1,Just go to my website where we have real time fact checking
10,0,"Trump: it's ok, even if you had given me prior notice, I wouldn't have prepared a closing argument. Hell, I haven't even prepared for any of the debates. "
11,1,"Hell, I haven't prepared for this election"
12,0,Hillary Clinton could legitimately run foreign policy better in a drunken stupor than Trump at his best.
13,0,"While giving her spheel you can see Trump scribbling down furiously. 

And he ended the debate saying he will stop African Americas form killing each other in the inner cities. "
14,1,Yeah. He can't seem to understand that equating minorities and the inner city is not the way to go. 
15,1,"At one point he actually said they're all poor and uneducated. 

He also failed to mention that chicagoans get all their guns by driving 20 minutes into the next county. 
"
16,1,Most guns involved in crime in Chicago originate in Indiana. If only Trumo knew the governor there!
17,1,spiel :)
18,1,"Watched that with friends and we all agreed that was about the best possible surprise question they could get.

Being POTUS means thinking on your feet, and keeping a sense of civility and decorum with you at all times."
19,1,"Republican candidate arguing for stricter regulations on businesses, Democratic candidate rattling sabers against Russia, Fox News having the fairest debate moderator....is this the mirror universe?"
20,1,"Welcome to the berenstain bear universe, things are different here. 
"
21,1,"Republicans defending Wikileaks and Democrats hunting them....it really is, it really is."
22,3,"Kellyanne Conway on CNN right now: ""Trump will accept the results of the election because he will win the election.""

edit: she just walked out on the interview in the spin room!

"
23,1,"When your campaign manager refuses to talk to the media after a debate, you know you just had a really really really catastrophically bad time."
24,1,Bigly
25,1,^^^^^^wrong
26,1,One could say you were...a disaster.
27,0,"She's a pollster, she sees the writing on the wall. And I don't think that she has a future if she helps Donald Trump with ... whatever he does when he loses."
28,1,She's so precious!
29,1,"The SNL skit about her really humanized her for me. It's a tough job, but someone's gotta do it."
30,3,"Anyone notice the part where Wallace was asking a question, giving context, and Trump interrupted with a big ""Correct"". 

And Wallace was llike ""Uh...Thanks, Now if I may continue...""?"
31,1,"""Well, I was gonna give you a chance, Donnie, but those rape accusations are coming up now.

...Fucker."""
32,0,"Trump's interruptions of Wallace were amazing.

He was pressing Clinton on the appearance of a conflict of interest with her Foundation, and her answer was not the best. But when he want back to press her again Trump came in and started talking about throwing gays off roofs, and Clinton was like ""hell yes Don let's change the topic to something insane."""
33,2,"Half of me is mad she didn't answer the question, but the other half of me applauded the fact that she was smart enough to recognize Donald's interruption as an easy way to get out of the corner she was in. Like her or not, girl's got mad debate skills."
34,2,"I'm honestly a little disappointed in all these debates. Clinton's biggest strength as a politician who is a major policy hawk, well read on every issue to an insane level, who usually doesn't give the time of day to anything else. Her main problem is that she doesn't really care about stuff like using private email servers, and she has had to study a lot on how to do the traditional bloviating politician shtick.

If the Republicans had actually nominated a semi-serious candidate, we would probably be having some very sharp and revealing policy discussion where Clinton and this imaginary Republican go toe to toe on where economic growth comes from, how to untangle Syria, and what can be done to improve race relations. We would here about body cameras, carbon caps, and entitlement reform like they were nothing.

Instead, we get this shit. Clinton is one of the smartest people out there and will be a much better President than she is a campaigner. If the GOP thinks they will have an easy time in 2020 they are in for a surprise."
35,3,"The best part was the reactions of both candidates. Trump honestly looked proud of himself, and Hillary was smiling to herself because the moderator had just subtly called out her opponent."
36,1,The smug look on trumps face was hilarious
37,1,"""Umm...I'm not sure we should be using 1950's television as a benchmark for what is or isn't offensive to say in 2016."" - Anderson Cooper 

lol....Jeffrey Lord is losing it on CNN"
38,1,But the 1950's was when America was great! /s
39,1,And when the highest tax bracket was 90%. These people are fucking stupid.
40,1,I love how they gloss over that so often.
41,1,"Wait, for real? 

I'm a filthy rube that actually doesn't know what the highest tax rate was in 1950."
42,1,"Yeah the highest bracket was super high up until Reagan slashed em. The way tax brackets work is e.g. : every dollar you earn 1-9.99MM is taxed at 35% every dollar after 10MM in that year is taxed at 90%. This is just an example but I wanna stress because lots get this wrong, at no time does making more money and getting taxed more mean that you make less net money."
43,1,"Australian here, lots of otherwise smart, normal people do not realise this. They complain about being pushed into a ""higher tax bracket"" as if it means they get less money."
44,1,My new favorite pastime is watching videos of Jeffrey Lord getting shit on by an entire panel.
45,1,"Ohhh but what was even better was he continued and said ""it's not as bad as the N word! Right?"" And leaned over to Van for support. Everyone then just let him float with no support on that.  I don't think I've ever laughed that hard in my life."
46,1,What'd he say?
47,3,"Jeffrey Lord was defending Trump's use of the term ""bad hombres"" and said he heard that on TV in the 50s all the time."
48,1,"He defended ""bad hombres"" as an inoffensive saying.  First, he said it's ""not as bad as the N word"".  Then, he followed that by saying that he hears people using it all the time.  When someone asked where he hears it, he cited ""1950s TV shows"". "
49,0,"Clinton: He was for the war

Trump: WRONG

Clinton: He said the primaries were rigged

Trump: WRONG

Clinton: He said Emmies were rigged

Trump: That one is legit"
50,1,This will be on the SNL cold open on Saturday.
51,1,[Hope it's as good as this](https://www.youtube.com/watch?v=8Zbv-u1ml6g)
52,1,Priorities
53,1,"Can't believe he went back to ""wrong."" How do you think that's a good idea at this point? That wasn't doubling down, just makes you look afraid of what your opponent has to say."
54,4,Nasty Woman and the Bad Hombres would be a good band name
55,2,Nasty Woman sounds like a girl group Prince would have put together in the 80s
56,1,Big Lee on drums
57,2,Kellyanne Conway is on CNN. She looks like she started drinking halfway through the debate.
58,5,"""She always looks like the last ten minutes of Prom"""
59,1,"Damn, that's... I see it.
"
60,1,"The man trying to gain the votes of Republicans just criticized Ronald Reagan.

What the fuck has to be going through your mind to do that?"
61,1,Maybe its finally time that Republicans admitted what a big dirty liberal Reagan was.
62,0,"Clinton: ""...and you can google 'Donald Trump Iraq War' and hear for yourself the recording of Donald saying those very words.""

Trump: ""Wrong."""
63,1,"That was so excellent. Her previous ""Go to my website and read my fact checking!"" was canned and silly- which independent voter bloc is that going to sway? Tell them to Google it. It's 2016. You can't lie publicly and get away with it forever, because as soon as you see the video, you know he's a bullshitter."
64,2,She cut the super-obvious canned jokes/lines too. It's almost like she's running a normal campaign where the staffers pay attention and point out the stuff that doesn't work and the candidate actually listens to them. 
65,1,"My god, so glad she got rid of the Trumped up trickle down bullshit.  "
66,3,"The hillaryclinton.com shoutouts bothered me too, they didn't really appeal to an independent audience. Saying to just google it is much, much more effective.

If Hillary were half as nefarious as people love to suggest, she'd have SEO people working on the Trump results. With as tight a campaign she's been running, I wouldn't be surprised."
67,2,"I don't understand how you can run for president and not realize when you have a microphone attached to you people can replay what you said. Like when he denied making fun of the disabled reporter. 

His surrogates tried to play it off that it was OK he did it because he also made fun of other people. 

But he still denies he did it. Like I can't just YouTube the clip. "
68,4,On CNN two white people are telling a mexican woman she shouldn't be offended by comments aganst Mexicans and women.
69,0,"Something I noticed. There were several times where Clinton deflected from difficult questions by ending her statement with an attack on Trump. This would not have worked against a seasoned politician, but every single time this happened Trump ended up taking the bait and changing the conversation away from something that could have damaged Clinton towards a topic where he had to play defense. It was remarkable, truly."
70,1,"Agreed, he always rose to the bait. And thus spectacularly lost. "
71,3,Correct I noticed that too. Now...who do you want dealing with other world leaders when it comes to representing America? Donald or Hillary
72,2,Its like hillary had a previous job or two where she talked with world leaders all the time...
73,1,"Good point. I personally think she is playing to his weaknesses. I feel if she was up against a real politician it would be a lot more contentious though I think she would have an answer (or deflection).

When you're trying to wrangle a tiger, you try to avoid the teeth."
74,5,"Oh no, she was playing him like a fiddle. While I would have appreciated it if she had stood her ground more on a few things (what the hell is so awful about NAFTA specifically?) I feel like she effectively showed how much of a reactive punk Trump is."
75,0,That's because Clinton knows how to win a damn debate. She turned him inside out. 
76,0,"""Mr. Trump, what is your plan for improving the American economy?""

""WE WILL INSULT OUR ALLIES THEN ASK THEM FOR MONEY""
"
77,1,Oh! Have you met our president? -- Someone living in the Philippines
78,1,"""Once I started talking about it they started to spend the money""

Forgetting the fact that this was planned by NATO years ago..."
79,2,"Sometimes I feel like Trump thinks EU4 is real life. Saying ""why didn't we take all of Iraq's oil?"" like he's shift-clicking the money button in the peace deal"
80,0,"*The disputed succession of Hillary I has caused Reactionary rebels to rise up! They are led by Donald Trump, who styles himself The Donald, and they will stop at nothing to achieve their goals.*"
